Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
40070,690,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,25807,4.0,Automatic,Front,Left wheel,Black,4,9
11917,0,MERCEDES-BENZ,A 170,Hatchback,No,Petrol,1.7,180000,4.0,Automatic,Front,Left wheel,Golden,8,17
35927,640,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,137267,4.0,Automatic,Front,Left wheel,Silver,4,12
21012,308,TOYOTA,Prius,Sedan,No,Hybrid,1.8,160000,4.0,Automatic,4x4,Left wheel,White,4,11
21012,1823,TOYOTA,Tacoma,Sedan,Yes,Petrol,3.5,27358,6.0,Automatic,Front,Left wheel,Grey,12,7
13172,1361,KIA,Carnival grand,Minivan,Yes,Diesel,2.9,84176,4.0,Automatic,Front,Left wheel,White,6,16
15624,707,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,107005,4.0,Automatic,Front,Left wheel,Grey,4,14
4547,0,OPEL,Vectra,Sedan,No,Petrol,1.6,15000,4.0,Manual,Front,Left wheel,Beige,2,28
5488,1273,INFINITI,QX60,Jeep,Yes,Petrol,3.5,124154,6.0,Automatic,4x4,Left wheel,Black,12,10
20005,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,104997,4.0,Automatic,Front,Left wheel,White,4,13
36110,924,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8,27728,6.0,Tiptronic,Front,Left wheel,Silver,8,8
470,1077,MAZDA,1000,Jeep,Yes,Petrol,2.0,11566,4.0,Automatic,4x4,Left wheel,Black,12,6
43880,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,113700,4.0,Automatic,Front,Left wheel,Silver,4,9
29479,584,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,69000,4.0,Tiptronic,Rear,Left wheel,Grey,8,11
17249,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,152000,4.0,Variator,Front,Left wheel,White,12,14
9408,0,TOYOTA,Vitz funkargo,Universal,No,Petrol,1.5,181926,4.0,Automatic,4x4,Right-hand drive,Silver,2,22
44213,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,50255,4.0,Automatic,Front,Left wheel,Red,4,9
8467,2078,BMW,325,Sedan,Yes,Petrol,2.5,252800,6.0,Manual,Rear,Left wheel,Grey,6,24
627,915,AUDI,A6,Sedan,Yes,Petrol,3.0,164488,6.0,Automatic,4x4,Left wheel,Silver,12,11
21950,831,FORD,Transit,Goods wagon,No,Diesel,2.4,125000,4.0,Manual,4x4,Left wheel,White,2,14
706,475,FIAT,500,Hatchback,Yes,Petrol,1.4,164574,4.0,Automatic,Front,Left wheel,Red,12,13
3136,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,156992,4.0,Automatic,Front,Left wheel,Black,12,11
3450,0,OPEL,Vectra,Sedan,No,CNG,2.0,0,4.0,Manual,Front,Left wheel,White,2,30
9408,0,MITSUBISHI,Pajero,Jeep,No,Petrol,3.5,11000,6.0,Tiptronic,4x4,Right-hand drive,Silver,4,27
20385,0,MITSUBISHI,Delica,Minivan,Yes,Petrol,3.0,184000,6.0,Automatic,4x4,Right-hand drive,White,12,20
314,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,149486,6.0,Automatic,4x4,Left wheel,Silver,12,11
2300,0,VOLKSWAGEN,Golf,Sedan,No,CNG,2.0,0,4.0,Manual,Front,Left wheel,Green,0,29
7840,0,MERCEDES-BENZ,Vaneo,Universal,No,LPG,1.9,170000,4.0,Tiptronic,Front,Left wheel,Silver,4,21
1490,639,VOLKSWAGEN,Jetta,Universal,Yes,Diesel,2.0,113214,4.0,Automatic,Front,Left wheel,Grey,12,11
314,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,149486,6.0,Automatic,4x4,Left wheel,Silver,12,11
13172,0,HONDA,Cr-v,Jeep,No,Petrol,2.4,260000,4.0,Automatic,4x4,Left wheel,Silver,6,23
19757,0,NISSAN,Patrol Y60,Jeep,No,Diesel,2.8,222222,4.0,Manual,Rear,Left wheel,Black,0,35
4704,917,AUDI,A7,Hatchback,Yes,Petrol,3.0,301707,6.0,Automatic,4x4,Left wheel,Grey,0,12
706,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,175827,4.0,Automatic,Front,Left wheel,Black,12,12
5802,1055,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,107800,6.0,Automatic,Rear,Left wheel,Grey,12,12
25716,777,TOYOTA,Camry,Sedan,No,Petrol,2.5,115200,4.0,Automatic,Front,Left wheel,Silver,8,11
14426,642,CHEVROLET,Orlando,Jeep,Yes,LPG,2.0,132036,4.0,Automatic,Front,Left wheel,White,4,13
10820,0,TOYOTA,RAV 4,Jeep,No,Petrol,2.0,91000,4.0,Automatic,4x4,Right-hand drive,Silver,4,24
45436,1172,FORD,Explorer,Jeep,Yes,Petrol,3.5,129177,4.0,Automatic,Front,Left wheel,White,4,14
11917,893,HYUNDAI,I30,Hatchback,No,Diesel,1.6,201000,4.0,Manual,Front,Left wheel,Black,8,17
41281,765,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,185811,4.0,Automatic,Front,Left wheel,Black,4,10
4391,0,NISSAN,Altima,Sedan,No,Petrol,2.4,358400,4.0,Manual,Front,Left wheel,Brown,2,27
3700,0,ALFA ROMEO,147,Coupe,Yes,Petrol,1.8,240000,4.0,Manual,Front,Left wheel,Black,4,24
15681,0,SUZUKI,Grand Vitara,Jeep,No,Petrol,1.6,98000,4.0,Automatic,4x4,Left wheel,Black,12,17
6586,645,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,122302,4.0,Automatic,Front,Left wheel,Black,0,14
12544,0,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,140000,4.0,Automatic,Front,Left wheel,Beige,6,18
30063,639,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120000,4.0,Automatic,Front,Left wheel,White,4,11
21639,0,HYUNDAI,Veloster,Hatchback,No,Petrol,1.6,17200,4.0,Tiptronic,Front,Left wheel,Red,10,10
36692,0,TOYOTA,RAV 4 XLE Sport,Jeep,No,Petrol,2.5,120000,4.0,Tiptronic,Front,Left wheel,White,0,12
30,0,HONDA,FIT,Hatchback,No,Petrol,1.5,0,4.0,Automatic,Front,Right-hand drive,Silver,4,23
12231,1266,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,66000,4.0,Variator,Front,Right-hand drive,Silver,4,11
3136,0,TOYOTA,Sienta,Sedan,No,Petrol,1.5,300000,4.0,Variator,Front,Right-hand drive,Beige,4,21
10663,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,230000,4.0,Variator,Front,Left wheel,Grey,6,16
5620,447,HONDA,FIT,Hatchback,Yes,Petrol,1.3,110467,4.0,Automatic,Front,Left wheel,White,4,12
9408,1111,HONDA,FIT,Hatchback,No,Hybrid,1.3,64000,4.0,Variator,Front,Right-hand drive,Black,4,13
3,0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,80000,4.0,Tiptronic,Front,Left wheel,Grey,6,14
15367,640,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,179200,4.0,Tiptronic,Front,Left wheel,White,16,12
26594,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,179918,4.0,Automatic,Front,Left wheel,Silver,4,11
36065,779,TOYOTA,Avalon LIMITED,Sedan,Yes,Hybrid,2.5,92200,4.0,Tiptronic,Front,Left wheel,Beige,12,12
26343,730,KIA,Cerato K3,Sedan,Yes,Diesel,1.6,29000,4.0,Tiptronic,Front,Left wheel,Silver,8,9
549,862,MAZDA,CX-7,Sedan,Yes,Petrol,2.5,216550,4.0,Automatic,Front,Left wheel,Black,12,14
14000,585,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,50000,4.0,Tiptronic,Front,Left wheel,Grey,10,12
17923,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,127842,4.0,Automatic,Front,Left wheel,White,4,11
10349,0,OPEL,Astra G,Hatchback,No,Petrol,1.6,180000,4.0,Manual,Front,Left wheel,Silver,6,22
8154,0,TOYOTA,Ist,Hatchback,No,Petrol,1.3,115000,4.0,Automatic,Front,Right-hand drive,Silver,7,23
7527,640,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,132310,4.0,Automatic,Front,Left wheel,Grey,12,12
3450,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,60762,4.0,Automatic,Front,Left wheel,White,12,8
22063,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,142264,4.0,Automatic,Front,Left wheel,White,4,15
2901,503,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,Left wheel,White,0,13
4704,585,TOYOTA,Corolla,Sedan,Yes,Petrol,1.8,227371,4.0,Automatic,Front,Left wheel,Silver,12,12
5331,0,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,2.8,175000,6.0,Manual,Front,Left wheel,Grey,6,23
941,642,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,203440,4.0,Automatic,Front,Left wheel,Black,12,13
16900,502,HONDA,FIT,Hatchback,Yes,Petrol,1.5,70000,4.0,Automatic,Front,Left wheel,Blue,4,12
18189,0,NISSAN,Rogue,Jeep,Yes,Petrol,2.5,122000,4.0,Automatic,4x4,Left wheel,Silver,4,15
5331,0,MAZDA,MPV,Minivan,No,Petrol,2.5,127000,4.0,Automatic,Front,Left wheel,Green,4,25
42651,1017,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2.0,44995,4.0,Automatic,4x4,Left wheel,Black,0,8
15524,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,122324,4.0,Automatic,Front,Left wheel,Red,7,13
17249,0,BMW,530,Sedan,Yes,Petrol,3.0,111111,6.0,Tiptronic,Rear,Left wheel,Grey,10,18
862,333,FORD,Fusion,Sedan,Yes,Hybrid,2.0,186048,4.0,Automatic,Front,Left wheel,Black,0,11
28909,831,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,98000,4.0,Automatic,Front,Left wheel,White,4,8
50,0,TOYOTA,Aqua,Sedan,No,Hybrid,1.5,130000,4.0,Automatic,Rear,Right-hand drive,Sky blue,0,12
14426,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,169024,4.0,Automatic,Front,Left wheel,White,4,11
9000,1325,VOLKSWAGEN,Sharan,Minivan,No,Petrol,1.4,126000,4.0,Automatic,Front,Right-hand drive,Silver,6,14
30734,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,200179,6.0,Automatic,4x4,Left wheel,Black,12,11
22580,779,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,156666,4.0,Automatic,Front,Left wheel,Black,12,12
862,259,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,133195,4.0,Automatic,Front,Left wheel,Black,0,11
7464,247,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,114950,4.0,Automatic,Front,Left wheel,Blue,4,11
